news_publisher,news_headline,news_link
Deccan Herald,Sriki used bitcoin trader to sell hacked cryptocurrency,https://news.google.com/articles/CAIiEP4bLQWzCa1ZzXOrDgdRCEAqMwgEKioIACIQjry_YPDACxKLbeLPU-ztoCoUCAoiEI68v2DwwAsSi23iz1Ps7aAwr67EBg?uo=CAUifWh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vc3RhdGUvdG9wLWthcm5hdGFrYS1zdG9yaWVzL3NyaWtpLXVzZWQtYml0Y29pbi10cmFkZXItdG8tc2VsbC1oYWNrZWQtY3J5cHRvY3VycmVuY3ktMTA0NjgyNi5odG1s0gEA&hl=en-IN&gl=IN&ceid=IN%3Ae
Nasdaq,"FTX Leads $150 Million Fundraise of African Fintech, Bitcoin Unicorn App Chipper",https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZnR4LWxlYWRzLSUyNDE1MC1taWxsaW9uLWZ1bmRyYWlzZS1vZi1hZnJpY2FuLWZpbnRlY2gtYml0Y29pbi11bmljb3JuLWFwcC1jaGlwcGVyLTIwMjEtMTEtMDLSAYABaHR0cHM6Ly93d3cubmFzZGFxLmNvbS9hcnRpY2xlcy9mdHgtbGVhZHMtJTI0MTUwLW1pbGxpb24tZnVuZHJhaXNlLW9mLWFmcmljYW4tZmludGVjaC1iaXRjb2luLXVuaWNvcm4tYXBwLWNoaXBwZXItMjAyMS0xMS0wMj9hbXA?hl=en-IN&gl=IN&ceid=IN%3Ae
PRNewswire,NFTglee Launches Bitcoin Trading Algorithm Via NFT; Demand Surges In Pre-Sale Before November Launch Date,https://news.google.com/articles/CBMioAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL25mdGdsZWUtbGF1bmNoZXMtYml0Y29pbi10cmFkaW5nLWFsZ29yaXRobS12aWEtbmZ0LWRlbWFuZC1zdXJnZXMtaW4tcHJlLXNhbGUtYmVmb3JlLW5vdmVtYmVyLWxhdW5jaC1kYXRlLTMwMTQxNDQxNC5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Newsweek,"What Does Aaron Rodgers, Other Athletes Getting Paid in Bitcoin Mean for Cryptocurrency?",https://news.google.com/articles/CAIiEBkAmo-pIzYJJOaGtxmvq2cqGQgEKhAIACoHCAow77zbCjDiq8wBMJiCsgU?hl=en-IN&gl=IN&ceid=IN%3Ae
Cointelegraph,"Ethereum price hits a new high above $4,500 right as Bitcoin recaptures $64K",https://news.google.com/articles/CAIiEBVmVl8UxC3-K5UEBqdY5JsqGQgEKhAIACoHCAow9Iv8CjDPxIgDMJiWzAU?hl=en-IN&gl=IN&ceid=IN%3Ae
Money,Bitcoin 'Resistance': Why Crypto Traders Are Obsessed With This Simple Investing Concept,https://news.google.com/articles/CAIiEMHKTjWdl_PSKcgPYeWTLz4qGQgEKhAIACoHCAowo4KbCzDnjLMDMKjV4QY?hl=en-IN&gl=IN&ceid=IN%3Ae
Deccan Herald,"Karnataka govt will not spare anybody involved in Bitcoin scam, says Ashwath Narayan",https://news.google.com/articles/CBMigwFodHRwczovL3d3dy5kZWNjYW5oZXJhbGQuY29tL3N0YXRlL2thcm5hdGFrYS1nb3Z0LXdpbGwtbm90LXNwYXJlLWFueWJvZHktaW52b2x2ZWQtaW4tYml0Y29pbi1zY2FtLXNheXMtYXNod2F0aC1uYXJheWFuLTEwNDY4NDIuaHRtbNIBhwFodHRwczovL3d3dy5kZWNjYW5oZXJhbGQuY29tL2FtcC9zdGF0ZS9rYXJuYXRha2EtZ292dC13aWxsLW5vdC1zcGFyZS1hbnlib2R5LWludm9sdmVkLWluLWJpdGNvaW4tc2NhbS1zYXlzLWFzaHdhdGgtbmFyYXlhbi0xMDQ2ODQyLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Ae
newsbtc.com,"Traders Taking Profit? Why Bitcoin Needs To Overcome $64,000 For The Next Leg Up",https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3Lm5ld3NidGMuY29tL2FuYWx5c2lzL2J0Yy90cmFkZXJzLXRha2luZy1wcm9maXQtd2h5LWJpdGNvaW4v0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
newsbtc.com,PayPal Co-Founder Says Bitcoin Price Points To Crisis In The Economy,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3Lm5ld3NidGMuY29tL25ld3MvYml0Y29pbi9wYXlwYWwtY28tZm91bmRlci1zYXlzLWJpdGNvaW4tcHJpY2UtcG9pbnRzLXRvLWNyaXNpcy1pbi10aGUtZWNvbm9teS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo Money,Bitcoin ‘Resistance’: Why Crypto Traders Are Obsessed With This Simple Investing Concept,https://news.google.com/articles/CBMiTGh0dHBzOi8vbW9uZXkueWFob28uY29tL2JpdGNvaW4tcmVzaXN0YW5jZS13aHktY3J5cHRvLXRyYWRlcnMtMTcyMjA0NTMwLmh0bWzSAVRodHRwczovL21vbmV5LnlhaG9vLmNvbS9hbXBodG1sL2JpdGNvaW4tcmVzaXN0YW5jZS13aHktY3J5cHRvLXRyYWRlcnMtMTcyMjA0NTMwLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Ae
