news_publisher,news_headline,news_link
Techstory,JP Morgan thinks Bitcoin's fair price is $35k,https://news.google.com/articles/CBMiQmh0dHBzOi8vdGVjaHN0b3J5LmluL2otcC1tb3JnYW4tdGhpbmtzLWJpdGNvaW5zLWZhaXItcHJpY2UtaXMtMzVrL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Ae
Cointelegraph,El Salvador to build 20 'Bitcoin Schools' with surplus from Bitcoin Trust,https://news.google.com/articles/CAIiEGuGDzFNA6nSeXesOjI1tDUqGQgEKhAIACoHCAow9Iv8CjDPxIgDMJiWzAU?hl=en-IN&gl=IN&ceid=IN%3Ae
RNZ,Tongan MP plans bill to make bitcoin legal tender,https://news.google.com/articles/CAIiEMXJtmY-EBOIpw5kcHyBcL0qGQgEKhAIACoHCAow35aQCzD3-KMDMMCosgY?hl=en-IN&gl=IN&ceid=IN%3Ae
Capital.com,Australia’s largest bank CBA to offer crypto trading services,https://news.google.com/articles/CBMiUWh0dHBzOi8vY2FwaXRhbC5jb20vYXVzdHJhbGlhLXMtbGFyZ2VzdC1iYW5rLWNiYS10by1vZmZlci1jcnlwdG8tdHJhZGluZy1zZXJ2aWNlc9IBVWh0dHBzOi8vY2FwaXRhbC5jb20vYW1wL2F1c3RyYWxpYS1zLWxhcmdlc3QtYmFuay1jYmEtdG8tb2ZmZXItY3J5cHRvLXRyYWRpbmctc2VydmljZXM?hl=en-IN&gl=IN&ceid=IN%3Ae
Todayuknews,MMA Entertainment Firm UFC To Launch Exclusive NFT Series With Crypto.com – Blockchain Bitcoin News -,https://news.google.com/articles/CAIiEBzTRjsW2Mm9C5f6qbRbV2cqGQgEKhAIACoHCAowzrekCzCRwrwDMIXdhwc?hl=en-IN&gl=IN&ceid=IN%3Ae
Lexology,Institutional Investor's Introduction to Blockchain and Digital Asset Investing,https://news.google.com/articles/CBMiU2h0dHBzOi8vd3d3LmxleG9sb2d5LmNvbS9saWJyYXJ5L2RldGFpbC5hc3B4P2c9ZGEyNTJmNjgtY2I5MS00MGFhLTg3ZDctOTI3OGMyZDJkOGY50gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
CoinGeek,Kleiman v Wright: Ira Kleiman set to testify Wednesday as defense cranks up the pressure,https://news.google.com/articles/CBMibWh0dHBzOi8vY29pbmdlZWsuY29tL2tsZWltYW4tdi13cmlnaHQtaXJhLWtsZWltYW4tc2V0LXRvLXRlc3RpZnktd2VkbmVzZGF5LWFzLWRlZmVuc2UtY3JhbmtzLXVwLXRoZS1wcmVzc3VyZS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Ae
Motley Fool UK,Argo Blockchain shares: bull vs bear,https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmZvb2wuY28udWsvMjAyMS8xMS8wMy9hcmdvLWJsb2NrY2hhaW4tc2hhcmVzLWJ1bGwtdnMtYmVhci_SAQA?hl=en-IN&gl=IN&ceid=IN%3Ae
CNBCTV18,"View: Gold Likely To Regain Rs 53,000 Mark In Next 12 Months, Time To Buy On Dips",https://news.google.com/articles/CBMimAFodHRwczovL3d3dy5jbmJjdHYxOC5jb20vdmlld3MvZGl3YWxpLTIwMjEtYnV5LWdvbGQteWVsbG93LW1ldGFsLWxpa2VseS10by1yZWdhaW4tcnMtNTMwMDAtcGVyLTEwLWdyYW1zLWluLTEyLW1vbnRocy1zaG91bGQteW91LWJ1eS1vbi1kaXBzLTExMzMwNzcyLmh0bdIBAA?hl=en-IN&gl=IN&ceid=IN%3Ae
IBS Intelligence,CME Group to launch Micro Ether Futures on December 6,https://news.google.com/articles/CBMiXGh0dHBzOi8vaWJzaW50ZWxsaWdlbmNlLmNvbS9pYnNpLW5ld3MvY21lLWdyb3VwLXRvLWxhdW5jaC1taWNyby1ldGhlci1mdXR1cmVzLW9uLWRlY2VtYmVyLTYv0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
