news_publisher,news_headline,news_link
Economic Times,Australia's CBA breaks ranks to offer crypto trading,https://news.google.com/articles/CAIiEFYo_YfQdgqWDsvGGMQ3Sl8qGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Ae
Sydney Morning Herald,CBA puts the ‘brave’ into the brave new world of cryptocurrency,https://news.google.com/articles/CAIiEFceOB87jHynsarbBLcytisqGQgEKhAIACoHCAowxqmICzDg_IYDMObfmwY?hl=en-IN&gl=IN&ceid=IN%3Ae
Capital.com,Australia’s largest bank CBA to offer crypto trading services,https://news.google.com/articles/CBMiUWh0dHBzOi8vY2FwaXRhbC5jb20vYXVzdHJhbGlhLXMtbGFyZ2VzdC1iYW5rLWNiYS10by1vZmZlci1jcnlwdG8tdHJhZGluZy1zZXJ2aWNlc9IBVWh0dHBzOi8vY2FwaXRhbC5jb20vYW1wL2F1c3RyYWxpYS1zLWxhcmdlc3QtYmFuay1jYmEtdG8tb2ZmZXItY3J5cHRvLXRyYWRpbmctc2VydmljZXM?hl=en-IN&gl=IN&ceid=IN%3Ae
The West Australian,Commonwealth Bank announces app feature to trade cryptocurrency,https://news.google.com/articles/CBMicWh0dHBzOi8vdGhld2VzdC5jb20uYXUvYnVzaW5lc3MvYmFua2luZy9jb21tb253ZWFsdGgtYmFuay1hbm5vdW5jZXMtYXBwLWZlYXR1cmUtdG8tdHJhZGUtY3J5cHRvY3VycmVuY3ktYy00NDEyMjQ30gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo News,Berks County-based bank announces new cryptocurrency clients,https://news.google.com/articles/CBMiR2h0dHBzOi8vbmV3cy55YWhvby5jb20vYmVya3MtY291bnR5LWJhc2VkLWJhbmstYW5ub3VuY2VzLTAzNTkwMDMxOS5odG1s0gFPaHR0cHM6Ly9uZXdzLnlhaG9vLmNvbS9hbXBodG1sL2JlcmtzLWNvdW50eS1iYXNlZC1iYW5rLWFubm91bmNlcy0wMzU5MDAzMTkuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Ae
Central Valley Business Journal,The cryptocurrency of 'The Squid Game' collapses: it was a millionaire scam,https://news.google.com/articles/CBMiXmh0dHBzOi8vY3Ziai5iaXovdGhlLWNyeXB0b2N1cnJlbmN5LW9mLXRoZS1zcXVpZC1nYW1lLWNvbGxhcHNlcy1pdC13YXMtYS1taWxsaW9uYWlyZS1zY2FtLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Ae
RNZ,Tongan MP plans bill to make bitcoin legal tender,https://news.google.com/articles/CAIiEMXJtmY-EBOIpw5kcHyBcL0qGQgEKhAIACoHCAow35aQCzD3-KMDMMCosgY?hl=en-IN&gl=IN&ceid=IN%3Ae
The National,We're giving away 1000 Scotcoin to EVERY National subscriber,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnRoZW5hdGlvbmFsLnNjb3QvbmV3cy8xOTY4OTk0NS5naXZpbmctYXdheS0xMDAwLXNjb3Rjb2luLWV2ZXJ5LW5hdGlvbmFsLXN1YnNjcmliZXIv0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Investing.com India,"Analysts Bullish on SBI's Profit, Expect Up to 100% Surge: SBI Q2 Preview",https://news.google.com/articles/CBMia2h0dHBzOi8vaW4uaW52ZXN0aW5nLmNvbS9uZXdzL2FuYWx5c3RzLWJ1bGxpc2gtb24tc2Jpcy1wcm9maXQtZXhwZWN0LXVwLXRvLTEwMC1zdXJnZS1zYmktcTItcHJldmlldy0yOTQ4MTgz0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Investing.com,"Curve DAO Token (CRV): Price Updates, Recent Developments, Future Events, Community By DailyCoin",https://news.google.com/articles/CBMiiAFodHRwczovL3d3dy5pbnZlc3RpbmcuY29tL25ld3MvY3J5cHRvY3VycmVuY3ktbmV3cy9jdXJ2ZS1kYW8tdG9rZW4tY3J2LXByaWNlLXVwZGF0ZXMtcmVjZW50LWRldmVsb3BtZW50cy1mdXR1cmUtZXZlbnRzLWNvbW11bml0eS0yNjY1Mzg00gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Investing.com India,"U.K. Gasoline Prices Hit All-Time High in October, RAC Says",https://news.google.com/articles/CBMiXWh0dHBzOi8vaW4uaW52ZXN0aW5nLmNvbS9uZXdzL3VrLWdhc29saW5lLXByaWNlcy1oaXQtYWxsdGltZS1oaWdoLWluLW9jdG9iZXItcmFjLXNheXMtMjk0ODIzMtIBAA?hl=en-IN&gl=IN&ceid=IN%3Ae
Investing.com India,China's Latest Covid Outbreak its Most Widespread Since Wuhan,https://news.google.com/articles/CBMiYmh0dHBzOi8vaW4uaW52ZXN0aW5nLmNvbS9uZXdzL2NoaW5hcy1sYXRlc3QtY292aWQtb3V0YnJlYWstaXRzLW1vc3Qtd2lkZXNwcmVhZC1zaW5jZS13dWhhbi0yOTQ4MjMz0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
