news_publisher,news_headline,news_link
Hindustan Times,Explained: PM Narendra Modi’s commitments at COP26 summit on climate change,https://news.google.com/articles/CAIiEIYbLGl7JwtgdBsM7Mw3UXEqFwgEKg4IACoGCAoww7k_MMevCDDIrqcH?uo=CAUiiQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9leHBsYWluZWQtcG0tbmFyZW5kcmEtbW9kaS1zLWNvbW1pdG1lbnRzLWF0LWNvcDI2LXN1bW1pdC1vbi1jbGltYXRlLWNoYW5nZS0xMDE2MzU5MTQwMzU3MTAuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
BusinessLine,Climate finance cannot continue at levels decided in 2009: India,https://news.google.com/articles/CAIiEIS84WgN2qyu-sU7aVkV5O0qGQgEKhAIACoHCAownZiCCzDY7_4CMKTw8gU?uo=CAUifWh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9uZXdzL2NsaW1hdGUtZmluYW5jZS1jYW5ub3QtY29udGludWUtYXQtbGV2ZWxzLWRlY2lkZWQtaW4tMjAwOS1pbmRpYS9hcnRpY2xlMzczMTY5NDEuZWNl0gEA&hl=en-IN&gl=IN&ceid=IN%3Ae
BBC News,COP26: UK firms forced to plan for low-carbon future,https://news.google.com/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy01OTEzNjIxNNIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy01OTEzNjIxNC5hbXA?hl=en-IN&gl=IN&ceid=IN%3Ae
Tech Wire Asia,Financial services blockchain making a difference in APAC's stock exchanges,https://news.google.com/articles/CBMiTmh0dHBzOi8vdGVjaHdpcmVhc2lhLmNvbS8yMDIxLzExL2ZpbmFuY2lhbC1zZXJ2aWNlcy1ibG9ja2NoYWluLXN0b2NrLWV4Y2hhbmdlL9IBUmh0dHBzOi8vdGVjaHdpcmVhc2lhLmNvbS9hbXAvMjAyMS8xMS9maW5hbmNpYWwtc2VydmljZXMtYmxvY2tjaGFpbi1zdG9jay1leGNoYW5nZS8?hl=en-IN&gl=IN&ceid=IN%3Ae
The New York Times,Who is Glenn Youngkin and How Did He Win the Virginia Governor's Race?,https://news.google.com/articles/CAIiEK5eT6TRmANOZX12_RKt9OoqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-IN&gl=IN&ceid=IN%3Ae
Sydney Morning Herald,CBA puts the ‘brave’ into the brave new world of cryptocurrency,https://news.google.com/articles/CAIiEFceOB87jHynsarbBLcytisqGQgEKhAIACoHCAowxqmICzDg_IYDMObfmwY?uo=CAUihgFodHRwczovL3d3dy5zbWguY29tLmF1L2J1c2luZXNzL2JhbmtpbmctYW5kLWZpbmFuY2UvY2JhLXB1dHMtdGhlLWJyYXZlLWludG8tdGhlLWJyYXZlLW5ldy13b3JsZC1vZi1jcnlwdG9jdXJyZW5jeS0yMDIxMTEwMy1wNTk1bnguaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
NDTV Profit,Global Economy Stuck In Biggest Traffic Jam Ever: Supply Chain Crisis,https://news.google.com/articles/CAIiEEJJYbHh1RSkYWW3YLkNOCIqGQgEKhAIACoHCAowwJmVCzD5-KoDMJ708wY?hl=en-IN&gl=IN&ceid=IN%3Ae
Reuters,Asian currencies weaken ahead of Fed rate outlook,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2NvcC9hc2lhbi1jdXJyZW5jaWVzLXdlYWtlbi1haGVhZC1mZWQtcmF0ZS1vdXRsb29rLTIwMjEtMTEtMDMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Financial Times,Coal miners profit from energy market turmoil,https://news.google.com/articles/CAIiED1pyTB5Yx2jXdNbJi9rEvQqGAgEKg8IACoHCAow-4fWBzD4z0gw_fCpBg?uo=CAUiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzMwNDE1ZWRjLTE2NDMtNDMzNC1hMzgxLTk2ZWRlNmQ4OGUyY9IBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
The National,Seeing COP26 through the eyes of global media shows a focus on sideshows,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LnRoZW5hdGlvbmFsLnNjb3QvbmV3cy8xOTY5MDAxMS5jb3AyNi1leWVzLWdsb2JhbC1tZWRpYS1zaG93cy1mb2N1cy1zaWRlc2hvd3Mv0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo Finance,UPDATE 1-Australia joins New Zealand to ratify regional trade pact RCEP,https://news.google.com/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy8xLWF1c3RyYWxpYS1qb2lucy16ZWFsYW5kLXJhdGlmeS0wNTAxNTU0OTMuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzLzEtYXVzdHJhbGlhLWpvaW5zLXplYWxhbmQtcmF0aWZ5LTA1MDE1NTQ5My5odG1s?hl=en-IN&gl=IN&ceid=IN%3Ae
Financial Times,Financing the fight against climate change,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzQ0NzU3OTE3LTcxZjQtNDY5OS04YmRlLTQ5ZWJkMTVmZWViZdIBP2h0dHBzOi8vYW1wLmZ0LmNvbS9jb250ZW50LzQ0NzU3OTE3LTcxZjQtNDY5OS04YmRlLTQ5ZWJkMTVmZWViZQ?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo Finance,"Crypto Exchange Becomes Unicorn, Coin Surges 200% After Banking Giant Buys Stake",https://news.google.com/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jcnlwdG8tZXhjaGFuZ2UtYmVjb21lcy11bmljb3JuLWNvaW4tMDQzNjQzMzgzLmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jcnlwdG8tZXhjaGFuZ2UtYmVjb21lcy11bmljb3JuLWNvaW4tMDQzNjQzMzgzLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Ae
Republic World,"Sensex rises over 250 pts in early trade; Nifty tops 17,900",https://news.google.com/articles/CBMieWh0dHBzOi8vd3d3LnJlcHVibGljd29ybGQuY29tL2J1c2luZXNzLW5ld3MvaW5kaWEtYnVzaW5lc3Mvc2Vuc2V4LXJpc2VzLW92ZXItMjUwLXB0cy1pbi1lYXJseS10cmFkZS1uaWZ0eS10b3BzLTE3OTAwLmh0bWzSAX1odHRwczovL3d3dy5yZXB1YmxpY3dvcmxkLmNvbS9hbXAvYnVzaW5lc3MtbmV3cy9pbmRpYS1idXNpbmVzcy9zZW5zZXgtcmlzZXMtb3Zlci0yNTAtcHRzLWluLWVhcmx5LXRyYWRlLW5pZnR5LXRvcHMtMTc5MDAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Ae
The Daily Star,World must shoulder responsibilities of climate migrants; 6m displaced in Bangladesh: PM,https://news.google.com/articles/CAIiEMUG67mPjHPSToUydEP-CFwqMwgEKioIACIQJbve6wuK-o8JJ5BGxJS9FCoUCAoiECW73usLivqPCSeQRsSUvRQwqKiHBw?hl=en-IN&gl=IN&ceid=IN%3Ae
ft.lk,Jeevan receives GAFM 'Master Fintech Professional' certification | Daily FT,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmZ0LmxrL2l0LXRlbGVjb20tdGVjaC9KZWV2YW4tcmVjZWl2ZXMtR0FGTS1NYXN0ZXItRmludGVjaC1Qcm9mZXNzaW9uYWwtY2VydGlmaWNhdGlvbi81MC03MjUzNTfSAQA?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo Finance,"FINAL DEADLINE IMMINENT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Longeveron Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",https://news.google.com/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9maW5hbC1kZWFkbGluZS1pbW1pbmVudC1zY2hhbGwtbGF3LTA1MTAwMDM1MS5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZmluYWwtZGVhZGxpbmUtaW1taW5lbnQtc2NoYWxsLWxhdy0wNTEwMDAzNTEuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Ae
Yahoo Finance,Expo boosts UAE non-oil private sector growth to fastest since June 2019 -PMI,https://news.google.com/articles/CBMiRWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9leHBvLWJvb3N0cy11YWUtbm9uLW9pbC0wNDM0MzE0MjguaHRtbNIBTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2V4cG8tYm9vc3RzLXVhZS1ub24tb2lsLTA0MzQzMTQyOC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Ae
Independent Online,Three scenarios for South Africa's post-Covid economy,https://news.google.com/articles/CBMijAFodHRwczovL3d3dy5pb2wuY28uemEvcGVyc29uYWwtZmluYW5jZS9pbnZlc3RtZW50cy90aHJlZS1zY2VuYXJpb3MtZm9yLXNvdXRoLWFmcmljYXMtcG9zdC1jb3ZpZC1lY29ub215LTJlMTRmZTlhLTFhZjctNDEzZS1iM2JjLWRiNjFkMTIwYmE2NdIBAA?hl=en-IN&gl=IN&ceid=IN%3Ae
US Embassy in South Africa,Joint Statement: International Just Energy Transition Partnership,https://news.google.com/articles/CBMiWmh0dHBzOi8vemEudXNlbWJhc3N5Lmdvdi9qb2ludC1zdGF0ZW1lbnQtaW50ZXJuYXRpb25hbC1qdXN0LWVuZXJneS10cmFuc2l0aW9uLXBhcnRuZXJzaGlwL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Ae
