news_publisher,news_headline,news_link
Hindustan Times,Explained: PM Narendra Modi’s commitments at COP26 summit on climate change,https://news.google.com/articles/CAIiEIYbLGl7JwtgdBsM7Mw3UXEqFwgEKg4IACoGCAoww7k_MMevCDDIrqcH?uo=CAUiiQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9leHBsYWluZWQtcG0tbmFyZW5kcmEtbW9kaS1zLWNvbW1pdG1lbnRzLWF0LWNvcDI2LXN1bW1pdC1vbi1jbGltYXRlLWNoYW5nZS0xMDE2MzU5MTQwMzU3MTAuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
Financial Times,COP26: where does all the climate finance money go?,https://news.google.com/articles/CAIiEGCaSGHTm1FPFrGxv8kv0PgqGAgEKg8IACoHCAow-4fWBzD4z0gw_fCpBg?uo=CAUiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2Q5ZTgzMmI3LTUyNWItNDcwYi04OWRiLTYyNzU4NTMzMTVkZNIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
Economic Times,More bankers express concern over ex-SBI chairman Pratip Chaudhuri's arrest,https://news.google.com/articles/CAIiEGJQmQF3UIZUMY1SFTvsqpEqGQgEKhAIACoHCAow2pqGCzD954MDMMLNigY?uo=CAUipAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vaW5kdXN0cnkvYmFua2luZy9maW5hbmNlL2JhbmtpbmcvYmFua2Vycy1leHByZXNzLWNvbmNlcm4tb3Zlci1leC1zYmktY2hhaXJtYW4tcHJhdGlwLWNoYXVkaHVyaXMtYXJyZXN0L2FydGljbGVzaG93Lzg3NTAwODQ0LmNtc9IBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
Moneycontrol.com,"With its strong correlation to the Nifty 50, does the Total Market Index provide diversification?",https://news.google.com/articles/CBMiqAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvcGVyc29uYWwtZmluYW5jZS93aXRoLWl0cy1zdHJvbmctY29ycmVsYXRpb24tdG8tdGhlLW5pZnR5LTUwLWRvZXMtdGhlLXRvdGFsLW1hcmtldC1pbmRleC1wcm92aWRlLWRpdmVyc2lmaWNhdGlvbi03NjcyOTIxLmh0bWzSAawBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3BlcnNvbmFsLWZpbmFuY2Uvd2l0aC1pdHMtc3Ryb25nLWNvcnJlbGF0aW9uLXRvLXRoZS1uaWZ0eS01MC1kb2VzLXRoZS10b3RhbC1tYXJrZXQtaW5kZXgtcHJvdmlkZS1kaXZlcnNpZmljYXRpb24tNzY3MjkyMS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Ae
Zee Business,Top 10 Muhurat picks from technical experts that could give 15-36% return in 6-12 months,https://news.google.com/articles/CAIiEDeehgRbQjqyWs1qCGfgTugqGQgEKhAIACoHCAow5bCNCzD8tp8DMP3RpwY?uo=CAUihgFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldC1uZXdzL25ld3MtdG9wLTEwLW11aHVyYXQtcGlja3MtZnJvbS10ZWNobmljYWwtZXhwZXJ0cy10aGF0LWNvdWxkLWdpdmUtMTUtMzYtcmV0dXJuLWluLTYtMTItbW9udGhzLTE2OTc4OdIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
Economic Times,Consumers must buy only hallmarked jewellery on Dhanteras-Diwali festival: Govt,https://news.google.com/articles/CAIiEMnOzS60M7ZeE-Q-ECHs2LEqGQgEKhAIACoHCAow2pqGCzD954MDMKLWigY?uo=CAUiqQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vd2VhbHRoL3BlcnNvbmFsLWZpbmFuY2UtbmV3cy9jb25zdW1lcnMtbXVzdC1idXktb25seS1oYWxsbWFya2VkLWpld2VsbGVyeS1vbi1kaGFudGVyYXMtZGl3YWxpLWZlc3RpdmFsLWdvdnQvYXJ0aWNsZXNob3cvODc1MDExOTIuY21z0gEA&hl=en-IN&gl=IN&ceid=IN%3Ae
Goodreturns,3 Stocks To Buy As Recommended By ICICI Securities,https://news.google.com/articles/CBMikwFodHRwczovL3d3dy5nb29kcmV0dXJucy5pbi9wZXJzb25hbC1maW5hbmNlL2ludmVzdG1lbnQvMy1zdG9ja3MtdG8tYnV5LWFzLXJlY29tbWVuZGVkLWJ5LWljaWNpLXNlY3VyaXRpZXMtd2l0aC1zdHJvbmctdXBzaWRlLXBvdGVudGlhbC0xMjI5MTQxLmh0bWzSAZsBaHR0cHM6Ly93d3cuZ29vZHJldHVybnMuaW4vYW1waHRtbC9wZXJzb25hbC1maW5hbmNlL2ludmVzdG1lbnQvMy1zdG9ja3MtdG8tYnV5LWFzLXJlY29tbWVuZGVkLWJ5LWljaWNpLXNlY3VyaXRpZXMtd2l0aC1zdHJvbmctdXBzaWRlLXBvdGVudGlhbC0xMjI5MTQxLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Ae
The Weather Channel,PM Modi Launches India's Ambitious Green Grids-OSOWOG Initiative at COP26 Glasgow | The Weather Channel - Articles from The Weather Channel | weather.com,https://news.google.com/articles/CBMiZWh0dHBzOi8vd2VhdGhlci5jb20vZW4tSU4vaW5kaWEvY2xpbWF0ZS1jaGFuZ2UvbmV3cy8yMDIxLTExLTAzLWluZGlhcy1ncmVlbi1ncmlkcy1pbml0aWF0aXZlLWxhdW5jaGVk0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
Mint,"Sensex up 300 pts as realty stocks rally; L&T, Tech Mahindra among top gainers",https://news.google.com/articles/CAIiEEy408tFc__kHsuG2h4qyhkqFggEKg4IACoGCAowxLQ_MNevCDD45Co?uo=CAUikgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3NlbnNleC11cC0zMDAtcHRzLWFzLXJlYWx0eS1zdG9ja3MtcmFsbHktbC10LXRlY2gtbWFoaW5kcmEtYW1vbmctdG9wLWdhaW5lcnMtMTE2MzU5MTUyMDkzOTUuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Ae
Business Wire India,Proposed Divestment of Stake in Magma HDI General Insurance,https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZWluZGlhLmNvbS9wcm9wb3NlZC1kaXZlc3RtZW50LW9mLXN0YWtlLWluLW1hZ21hLWhkaS1nZW5lcmFsLWluc3VyYW5jZS03NTc4NS5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Ae
